subjects,,,,
code,title,type,hours,splittable
18B11CI411,Computer Networks ,lec,3,1
18B17CI471,Computer Networks Lab,lab,2,0
18B11CI412,Algorithms and Problem Solving ,lec,4,1
18B17CI472,Algorithms Lab,lab,2,0
18B11CI413,Operating Systems,lec,3,1
18B17CI473,Operating Systems Lab,lab,2,0
14B11CI711,Artificial Intelligence & Application,lec,4,1
14B17CI772,AI & Application Lab,lab,2,0
18B28CI408,Mobile and Application Development Lab,lab,3,0
18B11HS411,Life Skills,lec,2,0
18B14HS441,Concepts of Digital Marketing,lec,3,0
